index,answers,condition,total_correct,true_positive,true_negative,passed_screener,experiment,engaged
0,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,8,4,4,True,E1,Engaged
1,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,7,3,4,True,E1,Engaged
2,"[""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,5,1,4,True,E1,Engaged
3,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,5,2,3,True,E1,Not engaged
4,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,8,4,4,True,E1,Not engaged
5,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E1,Engaged
6,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,6,2,4,False,E1,Not engaged
7,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,8,4,4,True,E1,Engaged
8,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,2,4,True,E1,Engaged
9,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,7,3,4,True,E1,Engaged
10,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,7,3,4,True,E1,Engaged
11,"['Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,6,3,3,False,E1,Not engaged
12,"['South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,6,3,3,True,E1,Engaged
13,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",IR,5,2,3,True,E1,Not engaged
14,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,7,3,4,True,E1,Not engaged
15,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,8,4,4,True,E1,Not engaged
16,"['South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,5,2,3,False,E1,Not engaged
17,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,6,3,3,True,E1,Engaged
18,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",IR,6,3,3,False,E2,Not engaged
19,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,7,3,4,True,E2,Not engaged
20,"['Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_called_on_supreme_court_justices_to_resign', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,4,2,True,E2,Not engaged
21,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",IR,6,3,3,True,E2,Not engaged
22,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_called_on_supreme_court_justices_to_resign', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,6,4,2,True,E2,Engaged
23,"['Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,4,1,3,True,E2,Engaged
24,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,3,3,True,E2,Engaged
25,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,7,3,4,False,E2,Not engaged
26,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",IR,5,2,3,False,E2,Not engaged
27,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,7,3,4,True,E2,Engaged
28,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,7,3,4,True,E2,Engaged
29,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,7,3,4,True,E2,Engaged
30,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,6,3,3,False,E2,Not engaged
31,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Not engaged
32,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila']",IR,6,3,3,True,E2,Engaged
33,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,6,3,3,True,E2,Engaged
34,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_called_on_supreme_court_justices_to_resign']",CQ,3,1,2,True,E2,Not engaged
35,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",IR,7,4,3,True,E2,Engaged
36,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Not engaged
37,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,8,4,4,True,E2,Engaged
38,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,8,4,4,True,E2,Not engaged
39,"['Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,4,1,3,True,E2,Not engaged
40,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Engaged
41,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_called_on_supreme_court_justices_to_resign', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,5,3,2,False,E2,Not engaged
42,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,8,4,4,True,E2,Engaged
43,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,7,3,4,True,E2,Engaged
44,"['Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",CQ,4,2,2,False,E2,Not engaged
45,"['Mugabe_called_on_supreme_court_justices_to_resign', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,3,3,True,E2,Not engaged
46,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,5,2,3,True,E2,Engaged
47,"[""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,5,1,4,True,E2,Engaged
48,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,4,2,True,E2,Engaged
49,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,7,3,4,True,E2,Engaged
50,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,2,4,True,E2,Engaged
51,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila']",CQ,5,2,3,True,E2,Engaged
52,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,6,2,4,False,E2,Not engaged
53,"['Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",CQ,5,3,2,True,E2,Engaged
54,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,7,3,4,False,E2,Not engaged
