index,answers,condition,total_correct,true_positive,true_negative,passed_screener,experiment,engaged
55,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,6,2,4,True,E2,Engaged
56,"['Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,3,3,False,E2,Not engaged
57,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",CQ,6,3,3,True,E2,Not engaged
58,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Not engaged
59,"['South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,4,1,3,False,E2,Not engaged
60,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_called_on_supreme_court_justices_to_resign', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,4,3,1,True,E2,Engaged
61,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",CQ,5,2,3,True,E2,Engaged
62,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,8,4,4,True,E2,Engaged
63,"[""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,5,1,4,True,E2,Not engaged
64,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,6,2,4,False,E2,Not engaged
65,['Mugabe_blamed_Britain_for_problems_in_Zimbabwe'],IR,5,1,4,True,E2,Engaged
66,['Mugabe_blamed_Britain_for_problems_in_Zimbabwe'],IR,5,1,4,True,E2,Engaged
67,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,7,3,4,True,E2,Not engaged
68,['The_European_Union_imposed_sanctions_on_Mr._Mugabe'],IR,5,1,4,True,E2,Not engaged
69,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator']",CQ,6,3,3,True,E2,Not engaged
70,"[""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,5,1,4,True,E2,Engaged
71,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,7,3,4,True,E2,Engaged
72,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,6,3,3,True,E2,Engaged
73,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",IR,4,1,3,True,E2,Engaged
74,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",CQ,5,2,3,True,E2,Not engaged
75,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,6,3,3,True,E2,Engaged
76,['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe'],IR,5,1,4,True,E2,Engaged
77,"['Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,4,1,3,False,E2,Not engaged
78,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Engaged
79,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Engaged
80,"['Mugabe_called_on_supreme_court_justices_to_resign', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,5,3,2,True,E2,Engaged
81,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,2,4,True,E2,Engaged
82,[],IR,4,0,4,False,E2,Not engaged
83,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila']",IR,4,1,3,False,E2,Not engaged
84,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila']",CQ,6,3,3,True,E2,Not engaged
85,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,8,4,4,True,E2,Not engaged
86,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Not engaged
87,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,4,2,2,True,E2,Engaged
88,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Not engaged
89,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,7,4,3,True,E2,Engaged
90,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,5,2,3,False,E2,Not engaged
91,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,6,2,4,True,E2,Engaged
92,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",IR,6,2,4,True,E2,Engaged
93,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",IR,5,2,3,False,E2,Not engaged
94,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_sent_troops_to_prop_up_dictator_Laurent_Kabila', 'Mugabe_called_on_supreme_court_justices_to_resign']",CQ,3,1,2,True,E2,Not engaged
95,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,7,3,4,True,E2,Engaged
96,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",IR,6,2,4,True,E2,Engaged
97,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,7,4,3,True,E2,Not engaged
98,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,2,4,True,E2,Not engaged
99,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Engaged
100,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,8,4,4,True,E2,Engaged
101,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,7,3,4,True,E2,Not engaged
102,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Engaged
103,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,3,3,True,E2,Engaged
104,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,7,3,4,True,E2,Engaged
105,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,6,3,3,True,E2,Not engaged
106,"['Mugabe_called_on_supreme_court_justices_to_resign', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,5,2,3,False,E2,Not engaged
107,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",CQ,7,3,4,True,E2,Not engaged
108,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,8,4,4,False,E2,Not engaged
109,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,6,2,4,True,E2,Engaged
110,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign']",CQ,5,2,3,True,E2,Engaged
111,['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe'],IR,5,1,4,True,E2,Engaged
112,"['Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,6,3,3,False,E2,Not engaged
113,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,6,2,4,True,E2,Not engaged
114,"['The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_""]",CQ,8,4,4,True,E2,Not engaged
115,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Mugabe_called_on_supreme_court_justices_to_resign', 'The_European_Union_imposed_sanctions_on_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,6,3,3,True,E2,Engaged
116,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe']",IR,6,2,4,True,E2,Not engaged
117,"['Mugabe_blamed_Britain_for_problems_in_Zimbabwe', ""Mugabe_called_Zimbabwe's_white_farmers_"", 'The_European_Union_imposed_sanctions_on_Mr._Mugabe']",CQ,7,3,4,False,E2,Not engaged
118,"[""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,5,1,4,False,E2,Not engaged
119,"[""Mugabe_called_Zimbabwe's_white_farmers_"", 'Leaders_of_Malawi_and_Mozambique_have_spoken_out_against_Mr._Mugabe', 'Mugabe_blamed_Britain_for_problems_in_Zimbabwe']",CQ,7,3,4,True,E2,Not engaged
120,"['South_African_Archbishop_Desmond_Tutu_described_Mugabe_as_a_dictator', ""Mugabe_called_Zimbabwe's_white_farmers_""]",IR,4,1,3,True,E2,Engaged
